sizes,latency,score,pruning_ratio,sizes_tuned,latency_tuned,score_tuned
4.20367431640625,3.9905630037537776,0.67617035,0.0,4.20367431640625,4.034624500491191,0.67539674
4.122768402099609,4.336936995969154,0.6746229,0.001,4.122768402099609,3.913833003025502,0.67543685
4.112781524658203,4.429250009707175,0.6746015,0.005,4.112781524658203,4.072707997693215,0.68094414
4.075504302978516,4.582770496199373,0.67519623,0.01,4.075504302978516,4.6406454930547625,0.6814919
3.9859466552734375,4.770603998622391,0.6794222,0.02,3.9859466552734375,4.75177099724533,0.67518145
3.7816543579101562,5.112333506986033,0.68228954,0.05,3.7816543579101562,4.759792005643249,0.6712135
3.631206512451172,4.993396003555972,0.6912075,0.075,3.631206512451172,4.658145502617117,0.676984
3.4295425415039062,5.071166997367982,0.7172405,0.1,3.4295425415039062,4.614687495632097,0.67804766
3.2775001525878906,4.717603500466794,0.7405385,0.125,3.2775001525878906,4.248020995873958,0.6746067
3.1102523803710938,4.465187499590684,0.7501708,0.15,3.1102523803710938,4.219541493512224,0.6727884
2.9143905639648438,4.7065624967217445,0.7817366,0.175,2.9143905639648438,4.232457999023609,0.6790591
2.783344268798828,4.540103996987455,0.8027817,0.2,2.783344268798828,3.9388749937643297,0.67486215
2.497241973876953,4.3583340011537075,0.85405356,0.25,2.497241973876953,3.709604497998953,0.68120915
2.2012863159179688,3.8717290008207783,0.93417203,0.3,2.2012863159179688,3.8593539939029142,0.67774934
1.6749496459960938,3.526396001689136,1.1283907,0.4,1.6749496459960938,2.7919379936065525,0.68524194
